,Scientific_Name,Common_Name,Img_name,Preferred_Light,Preferred_Soil,Watering_Needs
,Aphelandra squarrosa,Zebra Plant,zebra_plant.png,Indirect sunlight,Moist,Medium
,Crassula ovata,Jade Plant,jade_plant.png,Full sun,Well-drained,Medium
,Euphorbia milii,Crown of Thorns,crown_of_thorns.png,Full sun,Well-drained,Low to medium
,Ficus benjamina,Weeping Fig,weeping_fig.png,Indirect sunlight,"Rich, fast-draining",Medium
,Cycas revoluta,Sago Palm,sago_palm.png,Full sun to part shade,"Sandy, moist, well-drained",Medium
,Epipremnum aureum,Golden Pothos,golden_pothos.png,Part shade,"Moist, well-drained",Medium
,Sansevieria trifasciata,Snake Plant,snake_plant.png,Part shade,"Sandy, well-drained",Medium
,Maranta leuconeura,Prayer Plant,prayer_plant.png,Part shade to full shade,"Moist, well-drained",High
,Begonia Semperflorens Cultorum Group,Wax Plant Begonia,wax_plant_begonia.png,Full sun to part shade,"Rich, moist, well-drained",Medium
,Schefflera arboricola,Umbrella Plant,umbrella_plant.png,Full sun to part shade,"Rich, moderately moist",Medium
,Syngonium podophyllum,Arrowhead Plant,arrowhead_plant.png,Part shade,"Moist, well-drained",Medium
,Davallia Fejeensis,Rabbit's Foot Fern,rabbit_foot_fern.png,Part shade,"Rich, loamy",Medium
,Spathiphyllum,Peace Lily,peace_lily.png,Part shade to full shade,"Moist, well-drained",Medium
,Zamioculcas Zamifolia,ZZ plant,zz_plant.png,Part shade to full shade,Well-drained,Medium
,Chamaedorea elegans,Parlor Palm,parlor_palm.png,Part shade to full shade,Well-drained,Medium
,Ficus elastica,Rubber Plant,rubber_plant.png,Part shade,"Moist, well-drained",Medium
,Cordyline fruticosa,Ti Plant,ti_plant.png,Part sun to part shade,"Loamy, sandy",Medium
,Anthurium andraeanum,Flamingo Flower,flamingo_flower.png,Part shade,"Moist, well-drained",Medium
,Podocarpus macrophyllus,Buddhist Pine,buddhist_pine.png,Full sun to part shade,"Rich, well-drained",Medium
,Phygelius x rectus,Cape fuchsia Cherry Ripe,cape_fuschia.png,Part shade to full shade,"Rich, moist",Medium
,Mimosa pudica,Touch Me Not,touch_me_not.png,Part shade to full shade,"Loamy, well-drained",Medium to high
,Aloe vera,Aloe vera,aloe_vera.png,Indirect sunlight,Sandy,Low
,Dracaena Braunii,Lucky Bamboo,lucky_bamboo.png,Part shade,"Moist, well-drained",Medium
,Lobularia maritima,Sweet Alyssum,sweet_alyssum.png,Full sun to part sun,"Moist, well-drained",Medium
,Euphorbia pulcherrima,Poinsettia,poinsettia.png,Full sun to part shade,"Loamy, well-drained",Medium
,Convallaria majalis,Lily of the Valley,lily_of_the_valley.png,Part sun to part shade,"Rich, well-drained",Medium
,Gardenia jasminoides,Cape Jasmine,cape_jasmine.png,Full sun to part shade,"Rich, well-drained",Medium
,Chrysanthemum morifolium,Chrysanthemum/Florist's daisy,chrysanthemum.png,Full sun,"Rich, moist",Medium
,Dypsis lutescens,Areca Palm,areca_palm.png,Part shade,"Moist, well-drained",Low
